  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
 10  47     |   4  36   2  10    
 11  53     |   6  42   2  11    
 12  59     |   6  48   2  12    
 13  61     |   2  50   2  13    
 14  67     |   6  56   2  14    
 15  71     |   4  60   2  15    
 16  73     |   2  62   2  16    
 17  79     |   6  68   2  17    
 18  83     |   4  72   2  18    
 19  89     |   6  78   2  19    
 20  97     |   8  86   1  20    
 21 101     |   4  90   1  21    
 22 103     |   2  92   1  22    
 23 107     |   4  96   2  23    
 24 109     |   2  98   2  24    
 25 113     |   4 102   2  25    
 26 121     |   8   5   1  26    
 27 127     |   6  11   1  27    
 28 131     |   4  15   1  28    
 29 137     |   6  21   1  29    
 30 139     |   2  23   1  30    
 31 143     |   4  27   1  31    
 32 149     |   6  33   1  32    
 33 151     |   2  35   1  33    
 34 157     |   6  41   1  34    
 35 163     |   6  47   1  35    
 36 167     |   4  51   1  36    
 37 169     |   2  53   1  37    
 38 173     |   4  57   1  38    
 39 179     |   6  63   1  39    
 40 181     |   2  65   2  40    
 41 187     |   6  71   1  41    
 42 191     |   4  75   1  42    
 43 193     |   2  77   2  43    
 44 197     |   4  81   2  44    
 45 199     |   2  83   3  45    
 46 209     |  10  93   1  46    
 47 211     |   2  95   2  47    
- - - - - - - - - - - - - - - - - - - 
 48 221     |  10   0   0  48    
 49 223     |   2   2   1  49    
 50 227     |   4   6   1  50    
 51 229     |   2   8   2  51    
 52 233     |   4  12   2  52    
 53 239     |   6  18   1  53    
 54 241     |   2  20   2  54    
 55 247     |   6  26   2  55    
 56 251     |   4  30   2  56    
 57 253     |   2  32   2  57    
 58 257     |   4  36   2  58    
 59 263     |   6  42   2  59    
 60 269     |   6  48   2  60    
 61 271     |   2  50   2  61    
 62 277     |   6  56   2  62    
 63 281     |   4  60   2  63    
 64 283     |   2  62   2  64    
 65 289     |   6  68   2  65    
 66 293     |   4  72   2  66    
 67 299     |   6  78   2  67    
 68 307     |   8  86   1  68    
 69 311     |   4  90   1  69    
 70 313     |   2  92   1  70    
 71 317     |   4  96   2  71    
 72 319     |   2  98   2  72    
 73 323     |   4 102   2  73    
 74 331     |   8   5   1  74    
 75 337     |   6  11   1  75    
 76 341     |   4  15   1  76    
 77 347     |   6  21   1  77    
 78 349     |   2  23   1  78    
 79 353     |   4  27   1  79    
 80 359     |   6  33   1  80    
 81 361     |   2  35   1  81    
 82 367     |   6  41   1  82    
 83 373     |   6  47   1  83    
 84 377     |   4  51   1  84    
 85 379     |   2  53   1  85    
 86 383     |   4  57   1  86    
 87 389     |   6  63   1  87    
 88 391     |   2  65   2  88    
 89 397     |   6  71   1  89    
 90 401     |   4  75   1  90    
 91 403     |   2  77   2  91    
