   i	   p	  p?	   a	   d	   m	   u 
   -	   -	  --	   -	   -	   -	   - 
   0	  11	    	   0	   0	  11	   0 
   1	  13	    	   0	  10	  13	   1 
   2	  17	    	   1	   2	  17	   1 
   3	  19	    	   1	   4	  19	   2 
   4	  23	    	   2	   2	  23	   2 
   5	  29	    	   4	   4	  29	   1 
   6	  31	    	   4	   6	  31	   2 
   7	  37	    	   5	   2	  37	   2 
   8	  41	    	   6	   6	  41	   2 
   9	  43	    	   7	   4	  43	   2 
  10	  47	    	   8	   2	  47	   2 
  11	  53	    	   9	   4	  53	   2 
  12	  59	    	  10	   6	  59	   2 
  13	  61	    	  11	   6	  61	   2 
  14	  67	    	  12	   2	  67	   2 
  15	  71	    	  13	   6	  71	   2 
  16	  73	    	  14	   4	  73	   2 
  17	  79	    	  15	   2	  79	   2 
  18	  83	    	  16	   6	  83	   2 
  19	  89	    	  17	   4	  89	   2 
  20	  97	    	  19	   6	  97	   1 
  21	 101	    	  20	   8	 101	   1 
  22	 103	    	  21	   4	 103	   1 
  23	 107	    	  21	   2	 107	   2 
  24	 109	    	  22	   4	 109	   2 
  25	 113	    	  23	   2	 113	   2 
  26	 121	    	  25	   4	 121	   1 
  27	 127	    	  26	   8	 127	   1 
  28	 131	    	  27	   6	 131	   1 
  29	 137	    	  28	   4	 137	   1 
  30	 139	    	  29	   6	 139	   1 
  31	 143	    	  30	   2	 143	   1 
  32	 149	    	  31	   4	 149	   1 
  33	 151	    	  32	   6	 151	   1 
  34	 157	    	  33	   2	 157	   1 
  35	 163	    	  34	   6	 163	   1 
  36	 167	    	  35	   6	 167	   1 
  37	 169	    	  36	   4	 169	   1 
  38	 173	    	  37	   2	 173	   1 
  39	 179	    	  38	   4	 179	   1 
  40	 181	    	  38	   6	 181	   2 
  41	 187	   x	  40	   2	 187	   1 
  42	 191	    	  41	   6	 191	   1 
  43	 193	    	  41	   4	 193	   2 
  44	 197	    	  42	   2	 197	   2 
  45	 199	    	  42	   4	 199	   3 
  46	 209	   x	  45	   2	 209	   1 
  47	 211	    	  45	  10	   1	   2 
- - - - - - - - - - - - - - - - - - - -
  48	 221	   x	  48	   2	  11	   0 
